,ACC,ADANIENT,ADANIGREEN,ADANIPORTS,AMBUJACEM,APOLLOHOSP,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJAJHLDNG,BAJFINANCE,BANDHANBNK,BANKBARODA,BERGEPAINT,BHARTIARTL,BIOCON,BOSCHLTD,BPCL,BRITANNIA,CHOLAFIN,CIPLA,COALINDIA,COLPAL,DABUR,DIVISLAB,DLF,DMART,DRREDDY,EICHERMOT,GAIL,GLAND,GODREJCP,GRASIM,HAVELLS,HCLTECH,HDFCAMC,HDFCBANK,HDFCLIFE,HDFC,HEROMOTOCO,HINDALCO,HINDPETRO,HINDUNILVR,ICICIBANK,ICICIGI,ICICIPRULI,IGL,INDIGO,INDUSINDBK,INDUSTOWER,INFY,IOC,ITC,JINDALSTEL,JSWSTEEL,JUBLFOOD,KOTAKBANK,LICI,LTI,LT,LUPIN,MARICO,MARUTI,MCDOWELL-N,MM,MUTHOOTFIN,NAUKRI,NESTLEIND,NIFTY 50,NIFTY BANK,NMDC,NTPC,ONGC,PEL,PGHH,PIDILITIND,PIIND,PNB,POWERGRID,RELIANCE,SAIL,SBICARD,SBILIFE,SBIN,SHREECEM,SIEMENS,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,TORNTPHARM,ULTRACEMCO,UPL,VEDL,WIPRO,YESBANK
ACC,1.0000000000000002,0.3030244751918623,0.1929413120038791,0.3769357856512635,0.7955957570932043,0.2831349656071377,0.38380507254139495,0.30805493072588785,0.37217044752361994,0.37773556514899953,0.34997955909606704,0.25014768520801345,0.3327338095261857,0.2713693920326921,0.32363498931823814,0.3434261861785145,0.30730496687256326,0.2981047809600339,0.3460947310685193,0.35916649059568906,0.30941255600558837,0.3244699621416735,0.26333506496705095,0.2692912222588404,0.27753619704338955,0.30588370209735294,0.254076217636017,0.4314114930477727,0.2657632144441693,0.23381848996922952,0.39127790326373135,0.30021485770243567,0.0626154573241021,0.23724740580151538,0.5277133268116103,0.38349437499500255,0.21187727400495962,0.2919254663364358,0.354666364226131,0.29191220262032735,0.350375692658127,0.3577966862017482,0.4161642463665357,0.3371850649142782,0.2705198899576428,0.3753763361745946,0.24178122548567274,0.28474512726655005,0.3029293128388362,0.21543966890020028,0.3575215015900375,0.1926329340920065,0.24749802714769756,0.3456871063144037,0.2863093586001678,0.40151414418717535,0.4189241569619208,0.33599357413188047,0.33264898999089654,0.06161973306177686,0.21609103249972786,0.44733399289971487,0.264308472167476,0.30016850085572394,0.38405168492049485,0.29736149359964625,0.4085124957294733,0.33449870821877115,0.2621316634746923,0.2645297865983522,0.5611737382370544,0.4733101182805243,0.34361821503417855,0.31057591157943,0.23938541878636999,0.30111020183640125,0.19091837675064494,0.36940090327992103,0.275811293453499,0.2995470037785567,0.25439362859818676,0.30155923566549186,0.39100307417650165,0.1916220802888583,0.2538657386046563,0.39267400801583896,0.5342653732270768,0.41702653313234106,0.26303554937474116,0.37497125312030427,0.37988295430046715,0.4080420378655077,0.2199516539609677,0.23088489407280913,0.3267458137953647,0.20842513676394384,0.6579595549565809,0.32648518777998614,0.3314367466685045,0.24118174334016942,0.136690203145716
ADANIENT,0.3030244751918623,0.9999999999999993,0.2313623906064209,0.4493560872382713,0.3161121345717805,0.21268263303399335,0.2239401092192629,0.22864705564587853,0.28401032375586693,0.23600637757940668,0.291253672356801,0.16058657602413148,0.292740681977705,0.18830028245927757,0.2892354799631757,0.25923895878176306,0.21689094192242178,0.23034943566178118,0.2826874388193452,0.25915931830120137,0.20925437728587298,0.2676605525839302,0.20188361529707147,0.21520771156733431,0.19803816882087247,0.24225683778175813,0.22639775715713292,0.3955547035708638,0.1856736963087209,0.1669407354774812,0.2537458822952448,0.26095229792211483,0.038437975677148,0.18579460480573276,0.33424430908654695,0.259329254993563,0.19161621965242168,0.212944535861214,0.2652887678590494,0.21195287569348056,0.2540314058302157,0.23981457183288735,0.32292756568080616,0.24461376428584908,0.20605215594510226,0.32570583357223465,0.1812071214255309,0.22440262236235542,0.22968575522107346,0.16890950582928643,0.25448546740840255,0.15187789376942193,0.17685831717523057,0.2751896772342592,0.23391444235986777,0.3698850268300907,0.3369445852352462,0.25362411050624756,0.25094048101780614,0.04586763420934768,0.1636956422433753,0.32913590601885717,0.19115058625671882,0.20654372829949622,0.3082323058592382,0.2458168604541315,0.278914501528048,0.23578354487378356,0.1869034106634279,0.22971401036942504,0.4396102147324973,0.38183087565838764,0.3039431597850947,0.233104993122141,0.2530252220933315,0.24809054422763782,0.14136186305301796,0.24050888409311472,0.20324652889542252,0.27824617116789435,0.2038253461504437,0.2662692907550557,0.34454232048550515,0.14028847934003763,0.18521649002250257,0.3344850208611793,0.2786453780236547,0.34944552671691,0.24163011788901856,0.33311018925336544,0.3258787327685003,0.33423946400587184,0.17217469215611866,0.20528392722485198,0.24664926466402642,0.17129018924053907,0.3348407292622564,0.2541278374516816,0.3056404856117155,0.19834740586758554,0.13472498312780373
ADANIGREEN,0.1929413120038791,0.2313623906064209,0.9999999999999998,0.2526283072852078,0.19111778573077218,0.11536076495520318,0.12620730930495952,0.11802697865004107,0.18143636180987796,0.08855012426632188,0.2005667313721754,0.15638722925840515,0.2186081672883155,0.2078438594697423,0.18855770597226484,0.14810331804415414,0.17215772920881042,0.1441342576685654,0.18640139572490683,0.12530849201414734,0.11922462591328883,0.2267670392214705,0.06440679948121747,0.12502536332131509,0.13716271979264447,0.13302879188399347,0.11683066524388896,0.1859616073119401,0.13618809647026167,0.05446514064776404,0.16231046701755233,0.1350935664991553,0.0553085558227204,0.1361799092884671,0.18896500538156175,0.1685912069788966,0.06509155201252485,0.19437084440834188,0.13020616743361346,0.20794787737058262,0.1614804992442193,0.17167837919941706,0.18637367422083106,0.15014833631825725,0.12505178883338097,0.18326975105318943,0.16847318346627912,0.18679037532164214,0.14433543139399732,0.1290164378198262,0.20223439278544658,0.12897206260259012,0.04491939638090599,0.14088121104656176,0.12319582057545315,0.19079464282731515,0.1960640183398459,0.1547185884531979,0.14799403094601857,0.05484171989983339,0.08515879283978742,0.1608118735750135,0.1122964456085683,0.1426114082406042,0.22615244898150005,0.1651572815513011,0.17195811911079828,0.14167332645664024,0.1257750731809295,0.12607670415433572,0.2449711028412791,0.22301686256369035,0.17449928961073022,0.14235711186137412,0.1759377298471605,0.15066005220183137,0.09949232124715807,0.14849019868978913,0.11765344793981716,0.19357122960289758,0.0905152807461244,0.1801939914159182,0.2079490373237482,0.11377069265400458,0.17079117071828726,0.1826984678671541,0.1727429107280826,0.1921223723397797,0.11968613552327462,0.16355758229681294,0.19154949533936144,0.2008266176742866,0.07992587189100682,0.08446609522934974,0.1120618800558815,0.08795454803444765,0.1978493299718299,0.19060696994472548,0.1627280202209553,0.054164552870349866,0.1264839372518359
ADANIPORTS,0.3769357856512635,0.4493560872382713,0.2526283072852078,0.9999999999999992,0.3546035020106551,0.24297623228981924,0.31173552216786793,0.306226559061951,0.38258483195048126,0.34297319783736296,0.3704598470362983,0.25776998324224054,0.3624497104406149,0.2667120596311252,0.37712929566380327,0.29235334015049286,0.30400592212560945,0.258215187615392,0.3701727023762362,0.3132717433505361,0.28724192078093747,0.3342543840012174,0.2332126238873984,0.29556875557603607,0.2109017575320327,0.2642797014232478,0.2546919477075756,0.4503742198540748,0.2552967669964101,0.18670759991358732,0.32205896840913023,0.2949601725172703,0.048421103058967886,0.26625453220595025,0.39662413973198285,0.34162752211643754,0.20346201259936791,0.2806681262332247,0.38724038621576073,0.273861665910226,0.37800686939220945,0.3162212254984884,0.41496255242920044,0.296417139867277,0.24045005473968756,0.41024396866478025,0.24640919161141495,0.29786820601985553,0.31396051554611143,0.23096351722341682,0.3176844555094906,0.20083552437138125,0.20433262779454678,0.32477571344269646,0.29539859339593905,0.3902389634340634,0.42015043405970204,0.3138869837549162,0.3594620327937539,0.08296906252009523,0.2012994715277224,0.4462156132633705,0.2116547119819612,0.226249442009158,0.3640468578682073,0.2843577146030929,0.33841288848551326,0.3114002988497036,0.2441216078260933,0.21295829353285428,0.5724649107211361,0.5107489223930497,0.3507025317826023,0.3287459572781839,0.31043643504999746,0.3005379510639816,0.17635183018897355,0.3216795208990108,0.232904983964435,0.35474224226435164,0.23946387138729341,0.3538271532774659,0.40553907512328247,0.2337099715691438,0.24593691525688163,0.4085480968069126,0.33382820484053666,0.4144221745158457,0.2596578947342738,0.3903243713070304,0.3807150484754736,0.4054750917699947,0.21708568129024558,0.2798576926184137,0.2910664839007876,0.18368031329502954,0.4126475557291983,0.32947871506989895,0.3759387142301164,0.20624585846841462,0.18517090908363357
AMBUJACEM,0.7955957570932043,0.3161121345717805,0.19111778573077218,0.3546035020106551,1.0000000000000007,0.2835453713542776,0.36146040554361925,0.3045973030103707,0.3757181198017652,0.3559254781987256,0.3698991451535256,0.24947719459200335,0.33981453371250725,0.22784804910123727,0.32106645422201163,0.32641151949083974,0.27303874759403945,0.2675526880496147,0.32593022681314393,0.34865598416687144,0.2880512772335383,0.3166938938711872,0.28260387804863074,0.25499128614005695,0.26926558146766066,0.31481371370011546,0.2502462696041826,0.4299154698650327,0.2501235697568413,0.22565634836710724,0.3760926739795774,0.2814484913235735,0.05256071999769394,0.22123065442392936,0.512461507630069,0.3611506537330885,0.22951292564098738,0.27429088837269516,0.34586171001227983,0.27330919871070025,0.3553337866703025,0.35007614665841486,0.3815539006569017,0.33524300951641045,0.270892537217837,0.39182273432775355,0.22251351509315356,0.2961403102644449,0.29864197744216225,0.2157083307761735,0.33600939598174334,0.21314567726725261,0.2498595423518084,0.3309206130580023,0.27153691565154425,0.37930299419356034,0.41669886972135406,0.318151909603001,0.32796683023341494,0.03480431346241896,0.18209030113838534,0.4320022338797394,0.2717288186788776,0.2888842621858074,0.3942262746727619,0.27267668090604813,0.39777375797558134,0.326134167400064,0.24103089448081919,0.23740954614962645,0.5585694724532813,0.4751965245409273,0.33036784590837615,0.2944106360852184,0.24000807346247566,0.2752663085886214,0.18267000731515762,0.34141864242205466,0.26168908037170524,0.29291274858099164,0.2668497823738099,0.3157089354981901,0.3761755969952101,0.17185973518836267,0.24624851348526935,0.4127433994407645,0.49651039642027417,0.4134989599341719,0.274503176062363,0.37228452560483083,0.3629471163521129,0.3978112596699858,0.2100377606421107,0.24813874249894968,0.32944873922411455,0.2102548164547984,0.6339475928075249,0.2983653203961238,0.3353553843759697,0.2682777901864609,0.09706040433469938
APOLLOHOSP,0.2831349656071377,0.21268263303399335,0.11536076495520318,0.24297623228981924,0.2835453713542776,0.9999999999999998,0.24568593813491596,0.24180971442794622,0.24177290208128263,0.23446645147314532,0.29217343854510774,0.20580826879237918,0.3039504024800473,0.17854291976048836,0.17570028154820394,0.25392292420382323,0.16143854731565246,0.23135262097136797,0.22464574380381402,0.21704000968056084,0.2630547170650187,0.2506270187475901,0.255405770037442,0.18221308347151127,0.20527747077227085,0.2640612582462157,0.25542768240054053,0.2728969379125648,0.178119766080549,0.24992438207882345,0.2518992348696391,0.20091630799604027,0.09035962264835581,0.20825595225147925,0.2585832075688989,0.25032111424530296,0.21828145235673904,0.233329903205076,0.22716388325509662,0.22956360692918287,0.2515434630337261,0.25091987779521907,0.26717740100440324,0.19847960055992803,0.226976070725503,0.2468278692033391,0.20190885232801817,0.22941042020739313,0.23631351033719522,0.11529679324914366,0.21142946654516395,0.14107510724989428,0.21218538227008363,0.17247848374063088,0.18753725464944726,0.24175364353207046,0.2564831477738521,0.27348061591957884,0.26050533132100695,0.024094401097712232,0.22727406028045694,0.2715817681152015,0.230839850132318,0.21068295551774602,0.2511102183297567,0.21895986406952062,0.2578170698848401,0.238958527780341,0.19956823848000754,0.23006626959095253,0.39229878532208523,0.3097904985071822,0.20004349282773706,0.16224596930768231,0.1797985468117688,0.1875944731119132,0.11465335904912981,0.24318401454165436,0.23793206681973347,0.1585565575789066,0.16027226142536352,0.23208871057230773,0.2522598099279557,0.20864101561572096,0.20396677656572962,0.2195307679141361,0.25401206751771627,0.2727607070647975,0.24128718049252995,0.290221403589482,0.2216408976486104,0.2511080276900824,0.18160891332235035,0.2471077178903608,0.22711431206426086,0.25963141521675526,0.3018352925305123,0.21478558989922164,0.24120773753976404,0.24766661515118582,0.0738312325440727
ASIANPAINT,0.38380507254139495,0.2239401092192629,0.12620730930495952,0.31173552216786793,0.36146040554361925,0.24568593813491596,0.9999999999999999,0.23552635797404725,0.32450891206979504,0.32603712139206537,0.35348596057938164,0.23746909531745766,0.34687011029342835,0.19859971963448514,0.20474863062265664,0.5752944937356691,0.23795599143983517,0.24547069763453136,0.31591367627308353,0.30626310618653363,0.36387926657633973,0.282671547415845,0.1705114176936869,0.18825784228877035,0.3160399232219409,0.349025012163395,0.21819544792646162,0.30175046354060703,0.23727826920417674,0.19777278229245598,0.36466017612910917,0.19307486241766325,0.049730817768826895,0.2824287144647048,0.361749409732924,0.3287332572709334,0.21198915501013418,0.2008295777958618,0.33195550753216096,0.26654342580488466,0.3527243501319648,0.3346967774735797,0.2599315260816274,0.2876015041343079,0.4103636037098294,0.314293566876664,0.24208696616345274,0.2621313806232644,0.2532705432475322,0.16353040375130407,0.2996080886489765,0.18897332612311438,0.2165885030196451,0.27586436395792463,0.23081264701310514,0.24593756395473562,0.3075981806758302,0.3078771913307162,0.3545644079944714,0.055701906575685564,0.19593889523129626,0.35475640341045983,0.15341791116629677,0.3032680066140251,0.43104355136294054,0.2817819370899593,0.33234424312553235,0.2772446146881626,0.22894418057733035,0.3528349712078344,0.5222504152886853,0.4105250759262459,0.2082452155968994,0.21917221191043165,0.1548876228317328,0.18845944764382344,0.16547731195420354,0.5450578206466663,0.23265472759763978,0.16072468094853498,0.1863082994082162,0.3290660768462174,0.2432119457908179,0.2313457548442297,0.22428735890813875,0.26541195646959215,0.35057498052614855,0.36648039774278435,0.18678148289191174,0.36047164383389846,0.28017526988262753,0.25838551811279054,0.20880915902812966,0.22487064503631804,0.33380457857990015,0.1903141852382271,0.4557508778115416,0.30860656432227973,0.20071591731981503,0.2147775356515286,0.09484109726372637
AUROPHARMA,0.30805493072588785,0.22864705564587853,0.11802697865004107,0.306226559061951,0.3045973030103707,0.24180971442794622,0.23552635797404725,1.0000000000000013,0.3041094748497732,0.2654662241052081,0.26443173241562673,0.1791460499648319,0.250160115235868,0.1446984532250961,0.26438554146454696,0.2605167733190649,0.24352891248044845,0.3907967797340772,0.28290195758751474,0.2969371077764872,0.284280192591871,0.21926046935045312,0.4163657458554982,0.23931117405400992,0.2345515941767503,0.30612397318668394,0.37049379915246544,0.344190044435075,0.17798838967613778,0.4057784018387088,0.2422839415889385,0.25646931474152707,0.0945377036297251,0.2123441832813756,0.35349939177062767,0.2758092442913157,0.22424379772034336,0.21516867888277014,0.2598971111813298,0.24917216431827988,0.24474759682226432,0.2662675739983639,0.3283901548893636,0.28451234451525054,0.23768987154483837,0.28788060537850174,0.21568652318025308,0.2539160636016716,0.28190795442921396,0.16294410155657077,0.2695728949455781,0.15633643911164485,0.2338428175034344,0.23875019393350072,0.23026992753481354,0.32474377521447756,0.3518383341699731,0.27175881431593063,0.2715832243605618,0.0481164155449522,0.22126597780946788,0.28122974778546467,0.42949307311291746,0.24371104131783344,0.2763959300627472,0.2995604869278075,0.28101003985998235,0.25505248609117825,0.20833576148155042,0.21543619162505093,0.45710945768206307,0.368435503761666,0.3075525187769401,0.2863784249304783,0.22898950597972761,0.28241225748301535,0.16883721683312794,0.2579776943226032,0.24642105718788082,0.24722905860788455,0.17801234671300845,0.29299548750798643,0.33423307454111517,0.13978464227254553,0.18466486376950642,0.3089021665830889,0.27901434186793983,0.3172475110789576,0.42938311459781775,0.35790504914897026,0.2893383004401161,0.3434991866809902,0.2010665688746164,0.27179782059867263,0.23768962621855239,0.3440854571032034,0.31326869914716865,0.29889196429499915,0.3113935760597343,0.2508700183549777,0.12020227403061542
AXISBANK,0.37217044752361994,0.28401032375586693,0.18143636180987796,0.38258483195048126,0.3757181198017652,0.24177290208128263,0.32450891206979504,0.3041094748497732,0.9999999999999993,0.3502114566922991,0.4742682416830289,0.30576032649323037,0.45846028624087276,0.37549493497766256,0.45375499242974426,0.29399643442638373,0.2608507598372507,0.23765247313489787,0.38062943431369844,0.3522906950177836,0.27731887502052727,0.4306033581330891,0.21063067243774353,0.28575821683466945,0.2353875032109257,0.26428780249131795,0.2074740658621124,0.4399484712218663,0.24720985921956595,0.1618248418935704,0.38503113138853695,0.2819034445585133,0.009109617596322526,0.2263821706478686,0.4443921398767202,0.3112815682901802,0.1894154967431716,0.31960889992296465,0.49236898850098465,0.31942125680132044,0.4757438131959182,0.3317901500515325,0.41439049790832383,0.32128018709819844,0.27039241810063924,0.6791168630738386,0.30596882436160205,0.34838625806766876,0.28259937977927135,0.23168706654593402,0.5191507795019705,0.2110778806271465,0.2194516429501538,0.3384121433756435,0.2659015944992962,0.3861956085074534,0.4197099268201555,0.32631665037209967,0.45931816292468497,0.02139181061525395,0.16780513491500398,0.5189394646014006,0.17654433785885115,0.21740852688763562,0.4535659174051191,0.2827861456806259,0.3989923740128448,0.3396725888591318,0.24041744405078835,0.208533050616184,0.6772651136666872,0.784236924372785,0.3304088843447685,0.32622266681591017,0.29538734618038387,0.30851545117373647,0.212901566482259,0.3333208308239019,0.24311856856686653,0.40281588248529515,0.2565697292322281,0.3559283769794839,0.4049195749013261,0.26574974312146005,0.29777943764606496,0.5730377836859897,0.35250681451091453,0.43754400755855594,0.22574425610419496,0.34919560549755335,0.4018124976889171,0.39596399971951163,0.2093957951551872,0.2614258769774561,0.3251952203381485,0.16422017472543002,0.43132561215024734,0.35292881620501954,0.3590906476841417,0.21337141979321528,0.17892163332645766
BAJAJ-AUTO,0.37773556514899953,0.23600637757940668,0.08855012426632188,0.34297319783736296,0.3559254781987256,0.23446645147314532,0.32603712139206537,0.2654662241052081,0.3502114566922991,0.999999999999999,0.3536103787454744,0.2758490592721415,0.35779639838664934,0.24283605331509897,0.24972845274331443,0.2776751327713736,0.2974951689675786,0.2136930594192433,0.3480429480030989,0.29685981916879467,0.29990234647850095,0.3123273109482484,0.23435740008151174,0.23611199104582214,0.27210157411922964,0.2901821465195061,0.2291764599049731,0.3516956332584287,0.2596370925615469,0.22070973204784008,0.4240165999976807,0.2713772740982042,0.05084572350067101,0.29328057167549637,0.37323242272544593,0.33249394468257654,0.1971988094998498,0.24339442379819476,0.3960974995817146,0.26616024673214755,0.3662116805238791,0.5974005281432664,0.35921896218495547,0.26919310684976105,0.3102592750786557,0.3392520094883438,0.2862249177140497,0.25800182134858507,0.3019512859426251,0.17327355099929687,0.33367512019670276,0.18019728944554592,0.21587511636009404,0.29444667658555085,0.2651051938784965,0.2995137488188017,0.3424132325947975,0.29755078896408366,0.3601278293244853,0.01428474459346799,0.184068530374101,0.378236944105195,0.22892073179494268,0.27666485529815044,0.4790828021248258,0.27683310353374124,0.43470446241119637,0.28126601964707293,0.2268154644155745,0.22476029384443355,0.5517718034966708,0.4603645891495776,0.2660920445694292,0.25563439873613353,0.2838463021168162,0.2620157142064241,0.13416938789854693,0.33746992728010644,0.2367955214403389,0.2258634984610482,0.22689884775059857,0.337666172135704,0.2956281058807428,0.25414252845204705,0.2746133562323053,0.31499031752729856,0.2964971689121133,0.3608206228411723,0.23717796015041137,0.3214315730082182,0.373451585104097,0.3094924934618894,0.23118117909768637,0.19852710812786045,0.3312818780655888,0.21579506110537255,0.36814040416497706,0.3049544265414303,0.29096575957304793,0.24048341707583706,0.11477093698739473
