,date,close,high,low,open,volume
0,2015-01-01 00:00:00+05:30,319.55,322.5,316.25,319.0,1456204
1,2015-01-02 00:00:00+05:30,319.35,325.8,318.05,319.35,2894058
2,2015-01-05 00:00:00+05:30,323.8,327.5,319.35,320.45,2099786
3,2015-01-06 00:00:00+05:30,321.85,331.45,315.6,321.64,3672197
4,2015-01-07 00:00:00+05:30,321.1,328.7,317.39,321.95,2981544
5,2015-01-08 00:00:00+05:30,334.55,337.3,323.55,326.0,2932673
6,2015-01-09 00:00:00+05:30,331.15,343.1,327.35,339.9,3543488
7,2015-01-12 00:00:00+05:30,328.45,335.75,325.55,332.15,2990475
8,2015-01-13 00:00:00+05:30,323.0,331.3,320.75,330.2,2688701
9,2015-01-14 00:00:00+05:30,331.25,333.9,322.64,324.0,2272652
10,2015-01-15 00:00:00+05:30,330.6,337.3,326.25,334.0,2140699
11,2015-01-16 00:00:00+05:30,330.85,334.6,326.0,329.8,1970666
12,2015-01-19 00:00:00+05:30,328.35,334.8,326.6,332.05,1362398
13,2015-01-20 00:00:00+05:30,330.5,332.65,326.85,329.0,1091657
14,2015-01-21 00:00:00+05:30,329.35,333.5,326.2,330.35,1514648
15,2015-01-22 00:00:00+05:30,329.4,331.65,327.0,329.05,1376133
16,2015-01-23 00:00:00+05:30,346.9,352.75,330.1,332.0,7519790
17,2015-01-27 00:00:00+05:30,345.15,349.45,340.9,348.0,2928237
18,2015-01-28 00:00:00+05:30,339.25,350.0,333.9,343.4,3391819
19,2015-01-29 00:00:00+05:30,344.15,348.4,337.65,340.65,4034959
20,2015-01-30 00:00:00+05:30,341.05,352.0,323.5,346.4,4373172
21,2015-02-02 00:00:00+05:30,335.9,343.9,333.0,339.5,1735161
22,2015-02-03 00:00:00+05:30,327.8,336.95,326.05,336.3,1537152
23,2015-02-04 00:00:00+05:30,321.25,333.0,319.25,329.45,2792395
24,2015-02-05 00:00:00+05:30,312.2,322.7,308.45,322.0,2167857
25,2015-02-06 00:00:00+05:30,300.2,313.95,298.6,311.1,3265593
26,2015-02-09 00:00:00+05:30,300.14,307.89,292.5,296.7,3103409
27,2015-02-10 00:00:00+05:30,317.85,319.7,298.1,298.1,3921257
28,2015-02-11 00:00:00+05:30,326.1,328.9,319.0,319.89,2148555
29,2015-02-12 00:00:00+05:30,336.6,338.0,326.8,327.7,3539194
30,2015-02-13 00:00:00+05:30,335.35,344.35,331.55,337.7,2180303
31,2015-02-16 00:00:00+05:30,331.25,341.7,329.65,335.1,2205960
32,2015-02-18 00:00:00+05:30,333.8,335.8,330.0,332.3,1227170
33,2015-02-19 00:00:00+05:30,333.85,341.0,323.7,335.15,2643121
34,2015-02-20 00:00:00+05:30,329.0,338.05,326.39,335.05,1302901
