,date,close,high,low,open,volume
0,2015-01-01 00:00:00+05:30,749.15,754.5,747.0,751.1,284935
1,2015-01-02 00:00:00+05:30,775.05,781.45,751.25,751.25,2080850
2,2015-01-05 00:00:00+05:30,775.0,787.9,772.7,779.9,1326999
3,2015-01-06 00:00:00+05:30,756.5,783.0,750.4,775.0,1510720
4,2015-01-07 00:00:00+05:30,771.7,778.35,759.25,763.4,1427667
5,2015-01-08 00:00:00+05:30,820.35,822.9,778.1,783.8,2769416
6,2015-01-09 00:00:00+05:30,812.5,829.0,804.05,828.45,1708427
7,2015-01-12 00:00:00+05:30,807.75,818.4,800.2,813.05,1320557
8,2015-01-13 00:00:00+05:30,833.85,842.45,812.1,813.0,3835281
9,2015-01-14 00:00:00+05:30,842.65,850.0,830.2,840.0,2320114
10,2015-01-15 00:00:00+05:30,839.35,850.0,833.0,849.0,1308063
11,2015-01-16 00:00:00+05:30,843.45,859.0,840.0,844.9,1568660
12,2015-01-19 00:00:00+05:30,831.9,848.0,829.55,846.0,1041563
13,2015-01-20 00:00:00+05:30,839.2,847.0,835.0,835.0,1314139
14,2015-01-21 00:00:00+05:30,851.3,855.9,839.2,845.0,1663391
15,2015-01-22 00:00:00+05:30,867.15,881.65,852.85,856.5,1995155
16,2015-01-23 00:00:00+05:30,862.1,879.95,860.1,870.8,1531430
17,2015-01-27 00:00:00+05:30,890.5,892.8,865.5,868.9,1831293
18,2015-01-28 00:00:00+05:30,910.25,921.0,891.05,893.05,2895714
19,2015-01-29 00:00:00+05:30,881.3,922.5,867.2,913.8,5326269
20,2015-01-30 00:00:00+05:30,857.75,888.5,854.1,888.5,3291034
21,2015-02-02 00:00:00+05:30,808.1,851.1,803.5,850.0,4808585
22,2015-02-03 00:00:00+05:30,814.7,826.5,802.0,809.8,3048559
23,2015-02-04 00:00:00+05:30,803.85,823.2,800.8,819.8,912365
24,2015-02-05 00:00:00+05:30,810.85,826.4,808.0,812.0,1668101
25,2015-02-06 00:00:00+05:30,797.65,815.0,788.8,810.0,1668283
26,2015-02-09 00:00:00+05:30,803.65,822.0,783.4,790.0,1910672
27,2015-02-10 00:00:00+05:30,822.2,829.9,799.85,801.9,2235687
28,2015-02-11 00:00:00+05:30,840.75,845.0,828.0,830.0,1227804
29,2015-02-12 00:00:00+05:30,823.75,849.9,819.35,847.0,1974102
30,2015-02-13 00:00:00+05:30,826.75,834.95,815.05,824.35,1323475
31,2015-02-16 00:00:00+05:30,834.15,842.5,818.0,834.0,1584956
32,2015-02-18 00:00:00+05:30,821.05,842.0,819.7,839.1,1448399
33,2015-02-19 00:00:00+05:30,834.1,838.0,826.0,826.0,1216904
34,2015-02-20 00:00:00+05:30,825.7,836.1,823.2,834.25,699111
35,2015-02-23 00:00:00+05:30,809.6,833.0,806.1,829.5,1434240
36,2015-02-24 00:00:00+05:30,799.55,813.5,798.0,810.0,1141027
37,2015-02-25 00:00:00+05:30,813.85,816.0,805.0,805.2,1537365
38,2015-02-26 00:00:00+05:30,791.9,819.9,787.2,818.8,1600594
39,2015-02-27 00:00:00+05:30,807.15,809.1,796.1,799.1,1272026
40,2015-03-02 00:00:00+05:30,825.6,830.6,806.0,823.8,1383141
41,2015-03-03 00:00:00+05:30,838.3,842.0,827.2,829.85,1617826
42,2015-03-04 00:00:00+05:30,836.8,848.2,832.4,844.5,1600601
43,2015-03-05 00:00:00+05:30,833.9,841.55,828.0,837.0,694150
44,2015-03-09 00:00:00+05:30,812.65,832.5,808.85,832.5,626456
45,2015-03-10 00:00:00+05:30,807.95,818.0,802.0,813.0,691298
46,2015-03-11 00:00:00+05:30,809.0,819.95,806.75,818.0,942306
47,2015-03-12 00:00:00+05:30,808.1,815.0,805.2,814.8,979686
48,2015-03-13 00:00:00+05:30,808.4,818.7,805.6,811.9,837992
49,2015-03-16 00:00:00+05:30,831.85,835.85,809.0,813.0,1287189
50,2015-03-17 00:00:00+05:30,831.4,841.95,823.0,839.35,1384999
51,2015-03-18 00:00:00+05:30,814.2,835.85,810.0,835.85,1172762
52,2015-03-19 00:00:00+05:30,834.8,847.85,821.7,824.0,2037801
53,2015-03-20 00:00:00+05:30,809.95,837.0,805.6,836.0,1245311
54,2015-03-23 00:00:00+05:30,811.6,816.0,805.5,816.0,759196
55,2015-03-24 00:00:00+05:30,813.3,819.5,807.6,809.65,755974
56,2015-03-25 00:00:00+05:30,808.5,817.35,802.5,813.8,834390
57,2015-03-26 00:00:00+05:30,793.1,815.9,788.0,803.0,1516627
58,2015-03-27 00:00:00+05:30,778.15,793.0,768.1,793.0,1557785
59,2015-03-30 00:00:00+05:30,807.45,809.75,780.05,780.1,847421
60,2015-03-31 00:00:00+05:30,811.3,817.0,802.05,807.9,947718
61,2015-04-01 00:00:00+05:30,821.7,825.9,803.5,810.0,898480
62,2015-04-06 00:00:00+05:30,824.5,831.4,819.0,829.0,687263
63,2015-04-07 00:00:00+05:30,835.2,838.8,821.0,824.35,769528
64,2015-04-08 00:00:00+05:30,846.85,854.0,840.0,841.0,982733
65,2015-04-09 00:00:00+05:30,853.15,856.0,841.0,855.0,1019655
66,2015-04-10 00:00:00+05:30,859.45,861.7,843.2,853.0,802074
67,2015-04-13 00:00:00+05:30,862.05,865.55,852.4,860.0,805167
68,2015-04-15 00:00:00+05:30,839.05,863.0,835.0,861.65,1279621
69,2015-04-16 00:00:00+05:30,822.25,836.85,810.6,835.0,1366075
70,2015-04-17 00:00:00+05:30,816.8,829.6,815.0,822.25,685338
71,2015-04-20 00:00:00+05:30,808.95,819.3,800.0,818.0,920198
72,2015-04-21 00:00:00+05:30,796.5,816.9,792.0,813.45,652649
73,2015-04-22 00:00:00+05:30,785.45,806.0,769.2,800.0,1779318
74,2015-04-23 00:00:00+05:30,786.4,810.0,785.0,793.1,1275295
75,2015-04-24 00:00:00+05:30,771.35,792.5,765.05,792.5,1123939
76,2015-04-27 00:00:00+05:30,744.8,775.0,740.55,775.0,1625216
77,2015-04-28 00:00:00+05:30,765.45,768.65,730.0,741.95,2052761
78,2015-04-29 00:00:00+05:30,754.4,763.1,750.0,763.1,1445757
79,2015-04-30 00:00:00+05:30,762.45,770.85,747.2,749.3,2260678
80,2015-05-04 00:00:00+05:30,779.4,781.5,764.0,769.85,1071772
81,2015-05-05 00:00:00+05:30,781.4,784.85,768.65,780.0,952716
82,2015-05-06 00:00:00+05:30,760.85,779.0,750.15,779.0,1616619
83,2015-05-07 00:00:00+05:30,765.75,773.45,734.85,753.3,1718402
84,2015-05-08 00:00:00+05:30,759.4,774.4,752.75,773.0,1127201
85,2015-05-11 00:00:00+05:30,771.65,776.2,751.9,768.0,976348
86,2015-05-12 00:00:00+05:30,758.35,772.85,754.0,772.8,1137027
87,2015-05-13 00:00:00+05:30,762.5,775.0,759.0,759.05,839420
88,2015-05-14 00:00:00+05:30,796.45,803.0,755.0,762.0,1975784
89,2015-05-15 00:00:00+05:30,790.3,818.0,785.0,802.0,1503598
90,2015-05-18 00:00:00+05:30,766.75,818.0,762.0,796.85,6759860
91,2015-05-19 00:00:00+05:30,774.75,779.3,750.0,758.0,3903935
92,2015-05-20 00:00:00+05:30,771.2,777.95,764.15,775.65,1793967
93,2015-05-21 00:00:00+05:30,777.2,779.8,766.05,770.0,1678041
94,2015-05-22 00:00:00+05:30,775.4,779.8,771.2,775.0,1039136
95,2015-05-25 00:00:00+05:30,761.9,778.75,754.4,775.95,1282826
96,2015-05-26 00:00:00+05:30,763.5,769.0,755.55,762.1,906103
97,2015-05-27 00:00:00+05:30,759.25,762.05,754.4,762.0,792609
98,2015-05-28 00:00:00+05:30,767.35,771.0,758.5,760.15,1051538
99,2015-05-29 00:00:00+05:30,787.05,795.0,768.0,768.5,2583950
100,2015-06-01 00:00:00+05:30,789.75,794.7,786.3,787.8,713447
101,2015-06-02 00:00:00+05:30,759.2,794.3,756.0,789.1,1014316
102,2015-06-03 00:00:00+05:30,762.7,767.0,750.0,763.0,867736
103,2015-06-04 00:00:00+05:30,759.6,766.0,751.8,763.9,820596
104,2015-06-05 00:00:00+05:30,758.8,765.6,752.0,759.0,830300
105,2015-06-08 00:00:00+05:30,748.0,760.0,745.0,759.0,795683
106,2015-06-09 00:00:00+05:30,735.7,751.2,730.0,744.8,998511
107,2015-06-10 00:00:00+05:30,739.15,745.1,734.6,736.0,803748
108,2015-06-11 00:00:00+05:30,708.4,743.7,702.5,739.2,1453089
109,2015-06-12 00:00:00+05:30,705.65,722.8,702.0,709.0,1168519
110,2015-06-15 00:00:00+05:30,698.55,719.4,696.4,714.75,1244078
111,2015-06-16 00:00:00+05:30,704.95,706.0,693.0,700.95,2765685
112,2015-06-17 00:00:00+05:30,710.65,719.2,705.0,708.0,2215497
113,2015-06-18 00:00:00+05:30,728.95,734.35,718.95,718.95,1908157
114,2015-06-19 00:00:00+05:30,740.0,744.9,729.75,733.8,1783890
115,2015-06-22 00:00:00+05:30,747.7,751.55,732.5,744.65,1350579
116,2015-06-23 00:00:00+05:30,756.5,760.0,741.65,750.0,980083
117,2015-06-24 00:00:00+05:30,753.65,759.8,739.2,751.9,2982650
118,2015-06-25 00:00:00+05:30,750.2,759.8,745.1,753.0,1858338
119,2015-06-26 00:00:00+05:30,750.25,754.9,743.8,744.1,764357
120,2015-06-29 00:00:00+05:30,736.7,743.0,727.5,743.0,1100309
121,2015-06-30 00:00:00+05:30,755.35,759.5,737.0,737.0,1348105
122,2015-07-01 00:00:00+05:30,760.8,765.6,755.1,757.45,1025215
123,2015-07-02 00:00:00+05:30,762.9,772.5,761.1,763.1,973819
124,2015-07-03 00:00:00+05:30,772.7,778.4,758.4,762.0,1068877
125,2015-07-06 00:00:00+05:30,783.55,786.15,762.0,765.0,652931
126,2015-07-07 00:00:00+05:30,824.6,827.9,790.05,793.0,2464459
127,2015-07-08 00:00:00+05:30,802.25,835.0,797.35,819.8,1933525
